 
Log File 
 
User : 王明亮 
2022/04/22 周五 
19:37
 
Process Ran By 王明亮 
 

映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        132 K
Registry                        92 Services                   0     72,816 K
smss.exe                       356 Services                   0      1,020 K
csrss.exe                      500 Services                   0      5,196 K
wininit.exe                    596 Services                   0      6,152 K
csrss.exe                      612 Console                    1      5,628 K
winlogon.exe                   692 Console                    1     10,652 K
services.exe                   708 Services                   0      9,408 K
lsass.exe                      736 Services                   0     19,700 K
svchost.exe                    848 Services                   0     32,060 K
fontdrvhost.exe                860 Services                   0      3,728 K
fontdrvhost.exe                856 Console                    1     13,068 K
svchost.exe                    968 Services                   0     13,988 K
svchost.exe                   1016 Services                   0     10,304 K
dwm.exe                        464 Console                    1     66,752 K
svchost.exe                    524 Services                   0     10,448 K
svchost.exe                   1048 Services                   0      5,928 K
svchost.exe                   1144 Services                   0     11,996 K
svchost.exe                   1156 Services                   0     15,388 K
svchost.exe                   1180 Services                   0     10,472 K
svchost.exe                   1224 Services                   0     14,140 K
svchost.exe                   1292 Services                   0      6,916 K
svchost.exe                   1328 Services                   0      7,844 K
svchost.exe                   1360 Services                   0      9,384 K
svchost.exe                   1392 Services                   0     17,876 K
svchost.exe                   1592 Services                   0      8,100 K
svchost.exe                   1636 Services                   0      7,396 K
svchost.exe                   1648 Services                   0     15,460 K
svchost.exe                   1660 Services                   0     11,896 K
svchost.exe                   1748 Services                   0      6,324 K
svchost.exe                   1884 Services                   0     12,696 K
svchost.exe                   1908 Services                   0      7,760 K
svchost.exe                   1932 Services                   0      8,448 K
svchost.exe                   1952 Services                   0     75,732 K
svchost.exe                   1976 Services                   0      5,632 K
Memory Compression            1060 Services                   0     55,752 K
svchost.exe                   1372 Services                   0      7,684 K
svchost.exe                    428 Services                   0     10,468 K
igfxCUIService.exe            2076 Services                   0     10,004 K
svchost.exe                   2100 Services                   0      9,636 K
svchost.exe                   2136 Services                   0      8,216 K
svchost.exe                   2144 Services                   0      7,428 K
svchost.exe                   2156 Services                   0      6,440 K
svchost.exe                   2364 Services                   0     12,572 K
svchost.exe                   2436 Services                   0      8,244 K
svchost.exe                   2444 Services                   0      6,456 K
svchost.exe                   2460 Services                   0     10,120 K
svchost.exe                   2600 Services                   0      8,840 K
svchost.exe                   2676 Services                   0     19,132 K
svchost.exe                   2716 Services                   0     12,172 K
spoolsv.exe                   2808 Services                   0     13,696 K
svchost.exe                   2844 Services                   0     19,748 K
svchost.exe                   2920 Services                   0      5,900 K
dasHost.exe                   2944 Services                   0      4,920 K
AGMService.exe                2208 Services                   0     11,156 K
svchost.exe                   2428 Services                   0      8,556 K
svchost.exe                   2892 Services                   0      5,680 K
svchost.exe                   2992 Services                   0     12,664 K
svchost.exe                   3080 Services                   0      7,396 K
CxAudMsg64.exe                3096 Services                   0      8,568 K
svchost.exe                   3132 Services                   0     26,984 K
svchost.exe                   3160 Services                   0     28,620 K
inetinfo.exe                  3172 Services                   0     11,160 K
svchost.exe                   3192 Services                   0      7,664 K
ibtsiva.exe                   3212 Services                   0      4,620 K
svchost.exe                   3280 Services                   0     18,348 K
KGPMService.exe               3292 Services                   0      4,992 K
svchost.exe                   3300 Services                   0      8,344 K
svchost.exe                   3404 Services                   0      5,936 K
SynTPEnhService.exe           3480 Services                   0      4,556 K
sqlwriter.exe                 3492 Services                   0      7,580 K
svchost.exe                   3616 Services                   0      5,764 K
mqsvc.exe                     3624 Services                   0     11,184 K
svchost.exe                   3632 Services                   0      7,660 K
svchost.exe                   3640 Services                   0      8,868 K
svchost.exe                   3652 Services                   0     16,276 K
MsMpEng.exe                   3672 Services                   0    208,984 K
svchost.exe                   3684 Services                   0     22,832 K
svchost.exe                   3768 Services                   0     10,996 K
svchost.exe                   3860 Services                   0      5,796 K
sqlceip.exe                   4032 Services                   0     40,204 K
svchost.exe                   4108 Services                   0     11,556 K
unsecapp.exe                  4668 Services                   0      6,776 K
svchost.exe                   4724 Services                   0      5,888 K
